Year,T,TM,MinTemp,V,RA,SN,TS,FG,TN,GR
2000,9.7,14.0,5.3,12.2,186,31,23,119,0,0
2001,9.0,13.1,4.8,12.4,195,58,22,87,0,0
2002,-,-,-,-,-,-,-,-,-,-
2003,9.4,14.5,4.1,11.8,156,57,23,97,2,0
2004,8.9,13.0,4.3,12.6,192,69,22,98,0,2
2005,-,-,-,-,-,-,-,-,-,-
2006,9.2,13.6,4.5,12.0,167,52,24,107,2,0
2007,9.8,14.2,5.0,13.7,191,38,19,89,0,1
2008,9.6,13.9,5.1,12.2,187,29,27,86,0,0
2009,9.4,13.7,4.9,11.9,186,51,33,106,0,1
2010,8.3,12.2,4.0,12.4,172,85,27,92,0,0
2011,9.7,14.4,4.9,11.6,173,36,35,125,0,2
2012,9.2,13.7,4.3,12.0,197,46,35,89,0,1
2013,8.6,12.9,3.9,11.8,188,61,17,57,0,0
2014,10.1,14.8,5.1,10.4,197,15,15,54,0,0
2015,9.9,14.8,4.6,10.7,173,36,23,46,0,2
2016,9.5,14.2,4.6,10.5,199,43,21,45,0,1
2017,9.3,14.1,4.2,11.6,188,45,26,28,0,0
2018,10.5,15.5,5.3,10.7,178,46,22,35,0,0
2019,10.0,14.8,4.8,11.4,191,37,18,24,0,3
